PoliceID,City,State,PhoneNo
ZOJI8TMTU9,Lowell,MA,193-662-1727
HTL25TB9T7,Fort Smith,AR,414-341-7149
LDB3DR9G79,Iowa City,IA,373-920-6424
3MS3O4L6O4,Madison,WI,596-817-8514
O832S3H7GD,Biloxi,MS,694-554-8992
NJZI3FUE2H,Springfield,MO,472-226-3819
V4VEJZVQYT,Olympia,WA,508-156-4182
EDQ51SJ5V0,Gaithersburg,MD,555-946-5061
BDMPJ6YPBT,Minneapolis,MN,987-965-8886
QX5877P1I7,Kansas City,MO,914-134-4965
Z61CQ6ZMCO,Grand Island,NE,671-612-7003
YG80KYUWMC,Virginia Beach,VA,949-787-6494
IOHCCYZWQ2,Detroit,MI,191-468-3784
H99IX9OE00,Waterbury,CT,950-931-6636
AC98U63H90,Tallahassee,FL,431-936-2962
AQA166NOHH,Jonesboro,AR,879-790-8376
BOBDG126N9,Omaha,NE,144-837-9393
QPDSKMPGXZ,Overland Park,KS,269-800-9894
40AK7O35H8,Grand Rapids,MI,307-112-1111
8JD89SDG89,Naperville,IL,828-105-8405
NWGZS8XCUH,Sterling Heights,MI,565-212-1981
60B52I6I66,Metairie,LA,909-451-2346
O9CTKKFO4Y,Bloomington,MN,654-950-8664
K60O8BSHJT,Norman,OK,670-473-6800
B8X9GNTB9W,Racine,WI,472-226-3819
I5175NK7W2,Colchester,HI,473-241-3136
84F8H6AM4B,Kaneohe,MD,714-274-3602
5HIYD1E14A,Laramie,WY,495-182-8401
UBIFLAR22W,Dallas,TX,694-554-8992
EVXL9RR9T8,Montpelier,VT,556-881-5727
VQDRT26NL1,Cleveland,OH,889-984-5500
9SCXOS0D4C,Shreveport,LA,956-721-4680
R75FO3IS7X,Toledo,VA,324-808-8595
XBB6BV94YN,Pike Creek,DE,446-661-1198
QF4G86SUS1,South Portland,ME,450-575-9572
8379NU0FIW,Phoenix,AZ,603-451-3399
CCEI948V2N,Baton Rouge,LA,373-920-6424
ZUWGGIFFO7,Aurora,CO,762-536-8976
5PE0KP79C3,Harrisburg,PA,679-607-9875
LHK990WXKO,Rock Springs,WY,293-738-5341
L0897CKBCN,Boston,MA,167-180-9935
I4D7BQW3Z1,Helena,MT,938-481-1749
GXHPY90RXM,Columbia,SC,311-168-3915
U7MTJVBX0E,Pittsburgh,PA,497-874-8067
X37WU2YBK3,Gulfport,MS,828-439-3346
FITV3ODR6A,Rochester,NY,193-662-1727
7NC8NROCZ2,Baltimore,MD,304-593-7423
K4907A8AL8,Bozeman,MT,761-883-4259
RL9CP90PT4,Jacksonville,,915-740-7026
CO0NXL95X1,Hilo,CT,578-458-0052
C94VN65H0F,Fayetteville,KS,565-212-1981
KV8JE11Z6D,Jonesboro,CT,861-868-2811
H405THIXGO,Memphis,NC,190-956-2939
PDEG6ZE2JN,Evansville,ID,545-317-5761
9464ZCQU02,Kenosha,NJ,918-622-7467
